drug,pp_class,pp_clogp,pp_cpk_a1,pp_cpk_a2,fup_rat,fup_dog,fup_monk,fup_hum,rb_hum,vss_rat,vss_dog,vss_monk,vss_hum,vss_src
Cefotetan,A,1.3,1.7,2.6,0.41,0.48,0.1,0.15,0.65s,0.25,0.25,0.17,0.13,a
Tiludronate,A,2,1.1,2.6,0.3,0.3,0.2,0.1,0.60z,15,3,7,1,a
Captopril,A,2,3.6,,0.73,0.78,0.38,0.71,0.70s,1.7,2.5,3.6,0.81,a
Cefazolin,A,−0.7,2.6,,0.13,0.43,0.058,0.091,0.64s,0.23,0.27,0.13,0.11,a
Cefoperazone,A,−1.1,2.6,,0.36,0.38,0.029,0.066,0.64s,0.39,0.28,0.13,0.14,a
Diclofenac,A,4.6,4.2,,0.008,0.007,0.007,0.004,0.71b,0.75,0.23,0.17,0.17,a
Fluvastatin,A,4.6,4.3,,0.016,0.003,0.007,0.007,0.70s,1,0.7,3.7,0.42,a
Furosemide,A,2.3,3,,0.013,0.062,0.025,0.01,0.70b,0.16,0.23,0.11,0.11,a
Gemfibrozil,A,4.3,4.8,,0.010b,0.004b,0.007b,0.005b,0.75b,0.28,1.6,0.16,1.1,b
Indomethacin,A,4.3,4,,0.003,0.006,0.004,0.007,0.98b,1.9,5.6,1.8,0.93,b
Ketoprofen,A,2.9,4.2,,0.011b,0.024b,0.014b,0.004b,1.1b,0.42,0.28,0.25,0.13,b
Naproxen,A,2.9,4.8,,0.008,0.004,0.003,0.003,0.55x,0.18,0.12,0.1,0.1,a
Troglitazone,A,4.7,6.3,,0.01,0.004,0.005,0.006,0.55w,1,0.77,0.71,0.71,a
Valproic acid,A,2.6,4.8,,0.37,0.22,0.08,0.052,0.58w,0.66,0.31,0.15,0.15,a
Warfarin,A,3.1,4.5,,0.005,0.033,0.005,0.006,0.59s,0.22,0.28,0.11,0.11,a
Phenytoin,"A, pKa >7",1.4,8.3,,0.17,0.19,0.19,0.13,0.61w,0.64,1,7.8,1.4,a
Antipyrine,N,0.4,,,0.69,0.65,0.73,0.72,1.0x,0.97,0.62,0.74,0.87,a
Caffeine,N,−0.6,,,0.7,0.9,0.95,0.78,1.0v,0.92,0.76,0.83,0.73,a
Coumarin,N,1.4,,,0.32,0.28,0.24,0.17,1.1s,1.3,6.5,4.5,2.2,a
Flunisolide,N,2,,,0.22,0.24,0.26,0.24,0.76s,3,3.7,4,1.8,a
Isosorbide dinitrate,N,1,,,0.55,0.87,0.62,0.55,1.5s,4.9,3,1.7,1.9,"a,d"
Isosorbide mononitrate,N,−0.2,,,0.42,1,0.77,0.72,1.0s,0.97,0.8,0.5,0.6,a
Lorazepam,N,2.4,,,0.090b,0.073b,0.10b,0.057b,1.1b,1,7,1.2,1.3,b
Zidovudine,N,0.1,,,0.73b,0.82b,0.71b,0.70b,1.1b,1.2,1.1,1.2,1.8,b
Cyclophosphamide,"B, pKa <7",0.7,2.8,,0.76,0.62,0.66,0.81,0.96s,0.8,0.7,1.3,0.7,a
Felodipine,"B, pKa <7",4.8,2.7,,0.005,0.006,0.021,0.034,0.70w,12,7.8,2.2,9.7,k
Lamivudine,"B, pKa <7",−0.5,4.2,,1,0.88,1,0.95,1.0u,1.8,0.87,1.2,1.3,a
Midazolam,"B, pKa <7",3.8,6,,0.028,0.011,0.035,0.011,0.55w,2.5,1.1,2.9,1.1,"e,f,g,d"
Mifepristone,"B, pKa <7",6.2,5.5,,0.013,0.023,0.039,0.013,1.0u,4.3,10.5,33,1.5,"k,y"
Nifedipine,"B, pKa <7",3.6,2.7,,0.004,0.13,0.065,0.12,0.59x,0.13,1.2,0.5,0.78,k
Indinavir,"B, pKa <7",3.4,5.2,4.9,0.25,0.3,0.4,0.45,1.0u,2.2,0.73,1.5,0.82,"A,d"
Amiodarone,B,7.8,9.4,,0.058,0.043,0.062,0.05,0.73w,72,4.6,5.1,66,k
Biperiden,B,4.3,9.3,,0.11,0.096,0.077,0.14,0.95v,14,9.5,3.6,6.2,k
Bupivacaine,B,3.3,8.1,,0.23,0.061,0.23,0.16,0.68v,1.3,0.51,0.66,0.84,"h,i,j,d"
Chlorpromazine,B,5.2,9.4,,0.062,0.073,0.26,0.12,1.2v,29,16,8,11,k
Cimetidine,B,0.6,7.1,,0.69,0.72,0.85,0.75,0.97w,3.3,1.8,2,1.2,"p,q,r,d"
Citalopram,B,3.5,9.6,,0.4,0.32,0.37,0.32,1.3s,21,10,10,14,a
Diltiazem,B,4.7,8.9,,0.21,0.28,0.38,0.22,1.0v,3.6,21,3.5,3.1,k
Erythromycin,B,1.9,8.2,,0.48,0.45,0.3,0.34,0.91s,9.3,2.7,0.93,0.89,a
Haloperidol,B,3.8,8,,0.12,0.29,0.18,0.13,1.1v,10,37,6.6,18,k
Hydrodolasetron,B,2.8,8.8,,0.2,0.28,0.27,0.25,1.0u,15,9.6,28,11,a
Imipramine,B,4.4,9.5,,0.15,0.16,0.14,0.13,1.1v,11,6,9.7,13,b
Lidocaine,B,2.2,8,,0.38,0.44,0.42,0.31,0.87v,2.5,2.1,0.98,1.1,a
Metoprolol,B,1.6,9.4,,0.8,0.61,0.77,0.62,1.1v,7,4.5,3,4.2,a
Propafenone,B,3.4,9.3,,0.077,0.088,0.18,0.099,0.70v,4.9,5,8.2,2.2,"m,o,k,d"
Propranolol,B,2.9,9.5,,0.28,0.2,0.21,0.21,0.80v,5.3,2.3,5.6,3.6,"a,l"
Venlafaxine,B,2.5,9.3,,0.69,1,1,1,1.0u,6.6,3.3,3.5,4.4,"C,d"
Verapamil,B,4,9,,0.2,0.19,0.19,0.17,0.84v,4,5.8,4.5,3.7,"m,n,k,d"
Disopyramide,B,2.3,10.1,4.5,0.61,0.62,0.48,0.45,1.0w,6.2,2.3,2,0.78,a
Imatinib,B,2.9,7.6,3,0.03,0.12,0.063,0.097,1.1s,3.2,9.2,8,3.9,"s,t,d"
Irinotecan,B,3.7,9.3,5.1,0.19,0.067,0.26,0.22,1.2s,3.2,1,2.1,3.8,a
Nicardipine,B,4.9,7.3,2.6,0.014,0.019,0.038,0.021,0.71v,1.3,1.3,1.9,0.64,a
Nicotine,B,0.9,8,3.2,1,1,1,1,0.8u,4.7,3.3,1.5,2.6,a
Quinidine,B,2.8,9.3,4.8,0.17,0.11,0.059,0.17,0.96v,6,4.8,0.55,3,a
Vinblastine,B,5.9,7.9,5.6,0.13,0.059,0.16,0.18,1.0u,12,2.3,1.5,24,a
Cefpiramide,Z,0.2,3.5,8.7,0.31,0.3,0.01,0.018,0.65s,0.26,0.45,0.1,0.11,a
Ciprofloxacin,Z,1.6,6.4,8.7,0.57,1,0.56,0.8,0.75w,4.6,3.1,1.8,2.3,a
Doxorubicin,Z,0.2,7.4,8.7,0.067,0.092,0.12,0.13,2.0u,25,44,24,25,a
Gabapentin,Z,1.1,4.7,10.3,1,1,1,1,1.0u,1.4,0.16,0.68,0.82,a
Lamifiban,Z,−0.3,3.4,10.8,0.92c,0.89c,∼1.0u,0.94c,1.0u,0.24,0.75,0.29,0.29,c
Levofloxacin,Z,1.9,5.2,7.4,0.83b,0.92b,0.87b,0.78b,1.5b,3.6,1.3,1.9,1.2,b
Methotrexate,Z,−0.5,3.5,5.6,0.41,0.31,0.36,0.21,1.0u,0.4,0.54,1.2,0.67,a
Morphine,Z,0.9,9.5,8.3,0.7,0.67,0.61,0.63,1.0v,2.9,4,12,3.3,a
Naltrexone,Z,2.1,9.2,7.5,0.57,0.46,0.72,0.58,1.2s,3.5,11,5.1,7.6,"a,d"
Telmisartan,Z,6.5,3.9,5,0.007b,0.018b,0.008b,0.003b,1.2b,2,2.7,1.5,5.3,b
Topotecan,Z,0.3,8.9,7.7,0.21,0.17,0.88,0.72,1.0u,0.52,1.4,1.8,1.8,"B,d"
Verlukast,Z,3.4,4.3,2.2,0.003,0.012,0.002,0.0007,1.0u,0.81,0.24,0.33,0.11,"D,E"
